target,model_path,MAE,RMSE,MAPE,R2
pm25,C:\Users\Rafi Pratama\Documents\DEPLOY\models\pm25_model.pkl,35.69793577746812,88.00545161322079,117361285256.01904,0.009447596054366847
temperature,C:\Users\Rafi Pratama\Documents\DEPLOY\models\temperature_model.pkl,1.013809618667673,3.456947584695736,3.8392947031605966,-5.171503370264532
humidity,C:\Users\Rafi Pratama\Documents\DEPLOY\models\humidity_model.pkl,0.2118981406104097,0.7457127291291741,0.33690765248781945,0.9932544392690767
